instance;weight;time;steps
BPPC_4_0_10.txt_0.2.bz2;220;0.000746965;13
BPPC_3_0_6.txt_0.5.bz2;210;0.001019;47
BPPC_2_0_5.txt_0.8.bz2;190;0.00227284;116
BPPC_7_0_10.txt_0.3.bz2;1030;0.000858784;94
BPPC_5_0_1.txt_0.6.bz2;1030;0.000118971;19
BPPC_2_0_3.txt_0.5.bz2;210;0.00018692;49
BPPC_1_0_10.txt_0.8.bz2;185;0.000757933;78
BPPC_5_0_3.txt_0.7.bz2;1030;0.00010705;48
BPPC_4_0_9.txt_0.7.bz2;210;0.00332093;355
BPPC_1_0_4.txt_0.9.bz2;178;0.000138044;49
BPPC_6_0_10.txt_0.8.bz2;1030;0.00027585;17
BPPC_4_0_9.txt_0.8.bz2;200;0.00480103;1151
BPPC_6_0_3.txt_0.7.bz2;1030;0.000136137;13
BPPC_3_0_9.txt_0.2.bz2;220;7.9155e-05;13
BPPC_7_0_7.txt_0.8.bz2;1030;0.000615835;18
BPPC_2_0_8.txt_0.5.bz2;210;0.000234842;25
BPPC_4_0_6.txt_0.8.bz2;210;0.00178313;135
BPPC_3_0_1.txt_0.7.bz2;200;0.000736952;273
BPPC_7_0_10.txt_0.8.bz2;1030;0.000259161;69
BPPC_5_0_2.txt_0.5.bz2;1030;0.000703096;26
BPPC_7_0_3.txt_0.1.bz2;1040;0;0
BPPC_3_0_3.txt_0.2.bz2;220;0.00050211;10
BPPC_5_0_10.txt_0.2.bz2;1030;0.000671864;50
BPPC_4_0_8.txt_0.5.bz2;220;0.000123978;19
BPPC_7_0_6.txt_0.4.bz2;1030;0.000897884;99
BPPC_2_0_10.txt_0.5.bz2;210;0.000500917;21
BPPC_1_0_7.txt_0.4.bz2;210;0.000677109;18
BPPC_3_0_1.txt_0.3.bz2;220;0.000200987;8
BPPC_3_0_8.txt_0.7.bz2;200;0.000741005;374
BPPC_7_0_4.txt_0.2.bz2;1040;0;0
BPPC_6_0_10.txt_0.1.bz2;1040;0;0
BPPC_4_0_3.txt_0.3.bz2;220;0.000144005;10
BPPC_3_0_9.txt_0.4.bz2;220;0.000326157;61
BPPC_2_0_9.txt_0.6.bz2;200;0.000786066;29
BPPC_5_0_2.txt_0.7.bz2;1030;9.08375e-05;35
BPPC_2_0_6.txt_0.9.bz2;182;0.000272989;97
BPPC_3_0_1.txt_0.5.bz2;210;0.000319004;23
BPPC_7_0_9.txt_0.3.bz2;1040;0;0
BPPC_4_0_5.txt_0.4.bz2;220;0.000377893;7
BPPC_1_0_1.txt_0.6.bz2;199;0.000663996;78
