instance;weight;size;nodes;n_cut_weight;avg_cc;avg_min_k;avg_ratio;time
BPPC_6_0_7.txt_0.1.bz2;10310;31;236652048;8588114;9.75228;7.65593;0.713602;91406
BPPC_7_0_5.txt_0.4.bz2;5608;14;319340;0;11.0191;8.72956;0.793751;453
BPPC_5_0_2.txt_0.8.bz2;1524;4;71;0;4.07416;1.78199;0.429906;0
BPPC_3_0_6.txt_0.8.bz2;587;6;7953;0;5.42984;3.29271;0.601407;46
BPPC_4_0_6.txt_0.7.bz2;824;9;750881;0;6.94183;4.75665;0.683379;1163
BPPC_2_0_3.txt_0.5.bz2;995;11;46173;0;8.97389;6.71629;0.747628;61
BPPC_3_0_7.txt_0.7.bz2;726;7;41054;0;6.4981;4.32207;0.658476;79
BPPC_3_0_5.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_3_0_1.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_6_0_4.txt_0.1.bz2;10309;31;29385809;611398;13.48;11.3534;0.78459;21394
BPPC_6_0_8.txt_0.8.bz2;2055;5;142;0;4.95267;2.74434;0.542981;2
BPPC_3_0_2.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_7_0_6.txt_0.3.bz2;7233;18;2200325;0;14.8229;12.4933;0.844905;3947
BPPC_3_0_10.txt_0.4.bz2;1386;15;36469553;0;12.3792;10.0712;0.816005;73968
BPPC_4_0_5.txt_0.8.bz2;665;7;57990;0;6.08087;3.97025;0.644801;224
BPPC_5_0_7.txt_0.8.bz2;1550;4;60;0;4.19477;1.91994;0.455873;1
BPPC_2_0_3.txt_0.9.bz2;391;4;255;0;4.43927;2.28492;0.504844;6
BPPC_2_0_6.txt_0.6.bz2;790;8;10938;0;7.41736;5.20164;0.697901;16
BPPC_6_0_7.txt_0.4.bz2;4232;11;5566;0;9.57332;7.29797;0.762307;6
BPPC_4_0_9.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_4_0_4.txt_0.7.bz2;850;9;660902;0;7.08022;4.89396;0.689369;1131
BPPC_3_0_3.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_2_0_3.txt_0.8.bz2;527;6;1028;0;5.04295;2.87319;0.558427;13
BPPC_2_0_7.txt_0.8.bz2;498;6;1240;0;4.84377;2.6834;0.54325;9
BPPC_1_0_1.txt_0.9.bz2;325;4;98;0;3.78674;1.58887;0.416829;3
BPPC_3_0_10.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_6_0_10.txt_0.9.bz2;1600;4;62;0;4.17108;1.93827;0.466216;1
BPPC_1_0_2.txt_0.9.bz2;301;3;95;0;3.84896;1.72755;0.443275;3
BPPC_8_0_3.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_2_0_5.txt_0.9.bz2;388;4;365;0;4.03732;1.9458;0.462053;13
BPPC_7_0_6.txt_0.4.bz2;5337;13;304451;0;11.1228;8.83324;0.795867;436
BPPC_2_0_5.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_8_0_1.txt_0.7.bz2;3365;9;35110;0;6.71778;4.54788;0.671026;76
BPPC_7_0_2.txt_0.6.bz2;3562;10;12659;0;7.19422;4.97756;0.688163;16
BPPC_4_0_5.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_7_0_7.txt_0.3.bz2;6923;19;4273015;0;13.9583;11.6302;0.835521;6870
BPPC_8_0_6.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_7_0_2.txt_0.2.bz2;9659;26;146349111;0;19.7642;17.4127;0.882889;311192
BPPC_4_0_7.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_8_0_10.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_1_0_5.txt_0.6.bz2;633;7;1028;0;6.37748;4.14565;0.645067;1
BPPC_8_0_4.txt_0.5.bz2;5207;12;1927081;0;10.056;7.79118;0.775844;3531
BPPC_4_0_7.txt_0.9.bz2;520;5;7519;0;4.43616;2.33772;0.512775;164
BPPC_4_0_5.txt_0.9.bz2;499;5;8650;0;4.39062;2.29054;0.509644;164
BPPC_6_0_2.txt_0.6.bz2;2820;8;826;0;6.55123;4.30032;0.653629;3
BPPC_6_0_8.txt_0.9.bz2;1407;3;98;0;3.86541;1.69563;0.436474;1
BPPC_5_0_4.txt_0.9.bz2;1215;3;36;0;3.52514;1.27937;0.366436;0
BPPC_3_0_5.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
