instance;weight;size;nodes;n_cut_weight;avg_cc;avg_min_k;avg_ratio;time
BPPC_8_0_10.txt_0.2.bz2;1040;4;342096691;336572527;91.6042;1.1019;0.0197999;28470
BPPC_6_0_9.txt_0.5.bz2;1030;3;99538;81050;7.40944;1.03476;0.196159;7
BPPC_3_0_6.txt_0.4.bz2;210;6;35684007;31676946;29.3628;2.20391;0.219898;4634
BPPC_1_0_10.txt_0.1.bz2;220;7;3041247;2661878;29.8875;2.82888;0.209441;255
BPPC_4_0_5.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_5_0_6.txt_0.3.bz2;1030;3;41852;35206;9.26458;1.06513;0.16121;3
BPPC_4_0_3.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_5_0_5.txt_0.5.bz2;1030;3;6987;4869;6.02611;1.12361;0.239492;0
BPPC_8_0_4.txt_0.9.bz2;1030;3;21875;9503;3.83815;1.08684;0.317683;46
BPPC_3_0_8.txt_0.2.bz2;220;7;703035985;660937019;71.8383;7.55866;0.208173;91007
BPPC_2_0_5.txt_0.6.bz2;200;5;192136;142209;7.28759;1.58186;0.304871;25
BPPC_2_0_8.txt_0.7.bz2;200;5;52641;34876;6.72402;1.25779;0.275749;12
BPPC_2_0_7.txt_0.2.bz2;220;7;18024481;16305008;41.1871;2.27481;0.147928;1699
BPPC_3_0_8.txt_0.6.bz2;210;6;2319748;1809193;12.608;1.47619;0.24278;339
BPPC_1_0_2.txt_0.5.bz2;200;5;39657;27355;7.85877;1.53678;0.285449;5
BPPC_1_0_5.txt_0.5.bz2;200;5;36792;26004;7.0184;1.40811;0.279766;4
BPPC_4_0_1.txt_0.7.bz2;210;6;7247036;5475563;11.3738;1.45072;0.277832;1333
BPPC_3_0_4.txt_0.1.bz2;220;7;2334971585;2215322991;116.623;3.52804;0.130134;286688
BPPC_4_0_5.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_1_0_6.txt_0.9.bz2;180;3;485;163;3.59482;1.1422;0.332195;2
BPPC_1_0_4.txt_0.2.bz2;210;6;650262;545171;18.392;2.16203;0.226491;57
BPPC_4_0_8.txt_0.9.bz2;199;5;117267;66595;5.09008;1.1217;0.299966;181
BPPC_4_0_7.txt_0.7.bz2;210;6;8252345;6212095;10.0391;1.45727;0.290733;1498
BPPC_4_0_3.txt_0.6.bz2;210;6;34144192;28652014;23.6623;1.66833;0.242861;5605
BPPC_8_0_1.txt_0.6.bz2;1030;3;6735044;6038523;15.9019;1.01702;0.132536;568
BPPC_5_0_9.txt_0.7.bz2;1030;3;1072;520;3.84464;1.17551;0.320392;1
BPPC_3_0_9.txt_0.1.bz2;220;7;3891410901;3724576283;117.13;3.69778;0.104337;505459
BPPC_8_0_5.txt_0.2.bz2;1040;4;328228160;322651083;91.749;1.10045;0.0198058;27783
BPPC_7_0_2.txt_0.4.bz2;1030;3;4219961;3929819;22.7045;1.03965;0.0850472;257
BPPC_1_0_5.txt_0.2.bz2;210;6;559869;479448;21.4514;2.54225;0.237307;52
BPPC_6_0_8.txt_0.4.bz2;1030;3;239033;208866;11.6109;1.05833;0.139759;22
BPPC_3_0_8.txt_0.8.bz2;200;5;126868;81530;5.20606;1.17151;0.292575;56
BPPC_8_0_2.txt_0.1.bz2;1040;4;734448729;726609005;145.093;1.05971;0.0107461;59280
BPPC_7_0_2.txt_0.5.bz2;1040;4;1458865;1297691;14.2583;1.05346;0.132231;109
BPPC_6_0_4.txt_0.6.bz2;1030;3;29604;21428;5.26801;1.10291;0.256305;3
BPPC_2_0_1.txt_0.1.bz2;220;7;58587691;53967988;62.77;3.29463;0.153397;5780
BPPC_5_0_5.txt_0.3.bz2;1030;3;36520;30335;9.33863;1.04507;0.156436;2
BPPC_3_0_4.txt_0.5.bz2;220;7;8752019;7161437;12.5518;1.84051;0.277584;1357
BPPC_2_0_7.txt_0.3.bz2;210;6;5989964;5261987;23.5966;2.00345;0.198423;560
BPPC_3_0_9.txt_0.7.bz2;208;6;619146;427036;6.05511;1.34686;0.309769;127
BPPC_8_0_4.txt_0.6.bz2;1030;3;6839149;6139339;15.2261;1.01996;0.135599;546
BPPC_4_0_4.txt_0.5.bz2;220;7;162986934;143884060;30.6191;2.04149;0.231265;27485
BPPC_1_0_6.txt_0.5.bz2;200;5;36721;26441;7.8147;1.4247;0.27226;8
BPPC_4_0_9.txt_0.5.bz2;220;7;240544718;207471503;33.8234;2.04755;0.226593;42658
BPPC_3_0_2.txt_0.3.bz2;220;7;135031401;120286051;37.8059;2.59557;0.214361;19981
BPPC_1_0_3.txt_0.8.bz2;186;4;2055;888;3.78514;1.16005;0.325948;2
BPPC_4_0_1.txt_0.9.bz2;190;4;136562;78143;4.2019;1.10901;0.313321;183
BPPC_8_0_6.txt_0.7.bz2;1030;3;1503276;1210376;8.39247;1.03531;0.212977;165
BPPC_3_0_5.txt_0.8.bz2;200;5;124749;82053;6.35607;1.14949;0.270664;58
BPPC_5_0_3.txt_0.5.bz2;1030;3;7329;5010;4.99909;1.08729;0.257379;0
BPPC_6_0_5.txt_0.7.bz2;1030;3;9762;5807;4.27136;1.09021;0.288771;2
BPPC_8_0_7.txt_0.8.bz2;1030;3;240833;154645;4.52965;1.05478;0.287926;64
BPPC_1_0_5.txt_0.6.bz2;200;5;14210;9142;5.0968;1.38689;0.315271;2
BPPC_8_0_10.txt_0.7.bz2;1030;3;1476044;1189395;8.01112;1.03199;0.21611;175
BPPC_8_0_5.txt_0.3.bz2;1040;4;155679554;151980446;63.3383;1.06819;0.0293918;12934
BPPC_3_0_3.txt_0.1.bz2;220;7;2634411285;2525210977;132.764;3.63341;0.108216;356455
BPPC_2_0_2.txt_0.2.bz2;210;6;25335105;22911104;35.0749;2.3699;0.183753;2221
BPPC_1_0_10.txt_0.9.bz2;180;3;411;128;3.53796;1.22639;0.352762;1
BPPC_4_0_2.txt_0.7.bz2;210;6;7062330;5474370;11.3266;1.46922;0.286856;1266
BPPC_3_0_6.txt_0.2.bz2;220;7;497525950;466497461;78.8139;3.70981;0.167953;74181
BPPC_7_0_7.txt_0.1.bz2;1040;4;43923977;42935008;74.315;1.02789;0.0204593;2284
BPPC_2_0_4.txt_0.8.bz2;190;4;16174;8997;4.73899;1.1416;0.295489;7
BPPC_8_0_7.txt_0.9.bz2;1030;3;21058;9268;3.60816;1.10483;0.326068;44
BPPC_2_0_9.txt_0.4.bz2;210;6;1059067;906399;20.0418;1.84613;0.198429;127
BPPC_6_0_8.txt_0.8.bz2;1030;3;2431;1062;3.88074;1.17519;0.325114;1
BPPC_5_0_10.txt_0.1.bz2;1030;3;159831;145770;19.241;1.05156;0.0809474;7
BPPC_3_0_8.txt_0.1.bz2;220;7;3257383507;3134987087;127.656;2.82924;0.0830213;357164
BPPC_4_0_7.txt_0.6.bz2;220;7;44240444;35208652;10.7383;1.79337;0.317161;8237
BPPC_5_0_1.txt_0.5.bz2;1030;3;7434;5127;4.69132;1.09882;0.270594;1
BPPC_2_0_4.txt_0.9.bz2;187;4;2981;1223;3.66488;1.12614;0.32841;12
BPPC_7_0_7.txt_0.2.bz2;1040;4;21533420;20844777;49.1713;1.05077;0.0349999;1241
BPPC_5_0_1.txt_0.1.bz2;1030;3;176035;162107;20.8636;1.10651;0.0768979;6
BPPC_3_0_10.txt_0.8.bz2;200;5;123689;78021;5.09762;1.19672;0.302795;53
BPPC_6_0_5.txt_0.1.bz2;1030;3;2375871;2268958;38.6908;1.0501;0.041465;91
BPPC_3_0_5.txt_0.5.bz2;210;6;8823871;7447137;23.079;2.97407;0.28603;1336
BPPC_7_0_9.txt_0.7.bz2;1030;3;115623;82080;5.37226;1.05854;0.261835;24
BPPC_1_0_3.txt_0.7.bz2;199;5;6283;3421;4.46234;1.20966;0.307709;2
BPPC_8_0_6.txt_0.6.bz2;1030;3;6613322;5929200;16.1568;1.02153;0.133107;541
BPPC_7_0_10.txt_0.4.bz2;1030;3;4283017;3993457;20.7128;1.02377;0.0869935;259
BPPC_1_0_6.txt_0.4.bz2;209;6;101057;75001;8.0059;1.67291;0.286248;10
BPPC_3_0_5.txt_0.1.bz2;220;7;1983680443;1906038468;127.367;3.24136;0.0883928;260338
BPPC_3_0_1.txt_0.6.bz2;210;6;2687577;2058771;8.70061;1.57789;0.301006;420
BPPC_6_0_4.txt_0.2.bz2;1030;3;1201474;1124301;26.1971;1.03065;0.0649088;53
BPPC_8_0_3.txt_0.8.bz2;1030;3;237199;152718;4.71185;1.04618;0.285638;65
BPPC_4_0_10.txt_0.6.bz2;220;7;40461750;32166819;19.6178;2.23734;0.296977;7368
BPPC_4_0_7.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_8_0_10.txt_0.5.bz2;1040;4;21681237;20336345;31.7906;1.10321;0.0812224;1842
BPPC_2_0_10.txt_0.6.bz2;207;6;206695;146569;9.27162;1.30818;0.242505;30
BPPC_5_0_10.txt_0.8.bz2;1029;3;271;79;3.58988;1.26048;0.354289;0
