class,mult,type,subtype,density,ilp2,lp2,lp1
C,3,3,6,0.3,600,657.9141700512384,643.6538461538461
C,3,8,3,0.3,3110,3119.7557919560577,3119.3280632411065
C,3,4,8,0.9,482,671.7428794159355,665.4347826086957
C,3,5,9,0.1,3110,3118.2236402303297,3117.6470588235293
C,3,1,10,0.5,538,638.0370934085979,613.8157894736843
C,3,1,2,0.1,600,618.3564537604504,603.2558139534883
C,3,6,4,0.2,3110,3118.934202591622,3117.3773584905657
C,3,4,8,0.1,660,671.7819668396799,666.9565217391304
C,3,1,6,0.6,518,623.4115960294444,602.9487179487181
C,3,2,3,0.4,560,652.6426711945103,628.59375
C,3,8,4,0.3,3110,3119.832479515689,3119.4466403162046
C,3,6,6,0.8,2105,3118.7101411730255,3117.6153846153843
C,3,7,6,0.8,2395,3119.544077653415,3119.0784313725494
C,3,2,8,0.9,411,642.4363040411505,624.1935483870968
C,3,6,2,0.7,2202,3119.2047103345153,3117.767175572519
C,3,2,8,0.8,510,642.4080040411727,624.1935483870969
C,3,5,6,0.5,2823,3115.897810897412,3112.7127659574467
C,3,3,7,0.1,630,653.4089429205744,637.4999999999999
C,3,4,10,0.6,558,668.0287911242373,662.1739130434781
C,3,5,2,0.3,3100,3116.7417401873126,3113.737024221453
C,3,8,2,0.4,3110,3119.717447139434,3119.4642857142853
C,3,3,1,0.8,510,656.6719964970836,643.8461538461538
C,3,4,3,0.6,550,665.2348203502188,657.0833333333333
C,3,5,8,0.7,1968,3115.9428160173275,3113.2342657342656
C,3,3,8,0.4,580,660.3491260490628,648.4000000000001
C,3,5,5,0.5,2815,3118.089208164193,3114.137323943661
C,3,5,8,0.9,1267,3115.940712839163,3113.2342657342656
C,3,3,4,0.4,580,659.8694602401724,647.2222222222223
C,3,2,7,0.3,580,647.4772968888018,627.65625
C,3,3,1,0.5,563,656.6838351377519,643.8461538461538
C,3,4,10,0.4,600,668.0255568569985,662.1739130434783
C,3,5,6,0.7,1836,3115.9857621856872,3112.7127659574467
C,3,3,10,0.1,640,656.6633854393434,648.3333333333333
C,3,8,10,0.5,3110,3119.912208278182,3119.702380952381
C,3,6,8,0.2,3110,3119.186408400502,3118.1297709923665
C,3,3,7,0.9,462,653.7483536295757,636.6071428571429
C,3,6,3,0.7,2444,3119.313048599815,3118.180076628352
C,3,5,2,0.5,2883,3116.78889102375,3113.737024221454
C,3,6,7,0.2,3110,3118.632266858471,3117.35741444867
C,3,1,8,0.5,530,604.6882614295791,586.8181818181818
C,3,2,10,0.9,422,646.2065852521912,630.1612903225806
C,3,3,5,0.4,580,654.7006075099173,641.2962962962963
C,3,5,1,0.5,2828,3115.920282042424,3113.3568904593644
C,3,4,8,0.8,520,671.7439753389928,665.4347826086956
C,3,6,5,0.2,3110,3119.0990665998224,3117.623574144487
C,3,3,8,0.3,610,660.3480169254626,648.4000000000001
C,3,5,3,0.6,2428,3117.658714635698,3115.469314079423
C,3,6,6,0.1,3110,3118.727579143928,3118.339768339768
C,3,2,10,0.7,518,646.2452189381979,630.1612903225806
C,3,1,6,0.2,590,624.0830072333318,604.6242774566473
C,3,3,7,0.7,537,653.8835294322125,636.6071428571429
C,3,7,9,0.2,3110,3119.774596847371,3119.2578125
