instance;weight;size;time
BPPC_5_0_3.txt_0.5.bz2.dimacs.c;2995;8;0
BPPC_8_0_6.txt_0.9.bz2.dimacs.c;2153;5;1
BPPC_7_0_8.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_8_0_1.txt_0.6.bz2.dimacs.c;4152;10;266
BPPC_3_0_6.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_2_0_7.txt_0.5.bz2.dimacs.c;961;10;49
BPPC_7_0_8.txt_0.5.bz2.dimacs.c;4442;10;51
BPPC_2_0_2.txt_0.2.bz2.dimacs.c;2106;24;182144
BPPC_6_0_4.txt_0.4.bz2.dimacs.c;4530;12;3
BPPC_8_0_8.txt_0.7.bz2.dimacs.c;3326;8;33
BPPC_7_0_9.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_4_0_2.txt_0.4.bz2.dimacs.c;0;0;0
BPPC_3_0_5.txt_0.5.bz2.dimacs.c;1133;12;2807
BPPC_8_0_4.txt_0.7.bz2.dimacs.c;3395;8;30
BPPC_2_0_6.txt_0.3.bz2.dimacs.c;1492;19;4812
BPPC_3_0_1.txt_0.9.bz2.dimacs.c;449;5;1
BPPC_7_0_5.txt_0.8.bz2.dimacs.c;2326;6;0
BPPC_8_0_8.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_7_0_3.txt_0.4.bz2.dimacs.c;5405;13;380
BPPC_3_0_8.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_2_0_7.txt_0.3.bz2.dimacs.c;1517;17;3986
BPPC_5_0_4.txt_0.2.bz2.dimacs.c;6262;17;0
BPPC_8_0_7.txt_0.5.bz2.dimacs.c;4966;13;3047
BPPC_7_0_9.txt_0.8.bz2.dimacs.c;2280;6;0
BPPC_8_0_8.txt_0.8.bz2.dimacs.c;2716;6;6
BPPC_2_0_9.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_8_0_8.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_1_0_1.txt_0.2.bz2.dimacs.c;1601;20;79
BPPC_7_0_10.txt_0.3.bz2.dimacs.c;7117;17;3360
BPPC_5_0_9.txt_0.1.bz2.dimacs.c;8063;22;0
BPPC_5_0_3.txt_0.9.bz2.dimacs.c;1314;3;0
